City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Palma Soriano,CU,20.22,-76.0,86.0,70,40,3.36,scattered clouds
135,Changqing,CN,36.56,116.73,74.68,74,0,2.84,clear sky
136,Ilulissat,GL,69.22,-51.1,42.8,60,11,4.47,few clouds
137,Ribeira Grande,PT,38.52,-28.7,74.91,87,96,11.41,overcast clouds
138,Santa Fe,AR,-31.63,-60.7,64.0,60,71,3.0,light rain
139,Honiara,SB,-9.43,159.95,84.2,79,75,11.41,broken clouds
140,Mogadishu,SO,2.04,45.34,76.03,84,13,14.9,few clouds
141,Okato,NZ,-39.2,173.88,53.01,89,33,3.0,light rain
142,Nicoya,CR,10.15,-85.45,75.2,100,75,4.7,light rain
143,Jacareacanga,BR,-6.22,-57.75,76.14,77,50,0.74,light rain
144,Conceicao Da Barra,BR,-18.59,-39.73,71.2,83,1,7.61,clear sky
145,Chokurdakh,RU,70.63,147.92,40.87,73,100,8.59,overcast clouds
146,Avarua,CK,-21.21,-159.78,77.0,57,39,10.29,scattered clouds
147,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,53.6,100,90,8.95,mist
148,Urumqi,CN,43.8,87.6,57.2,93,90,6.71,light rain
149,Asau,RO,46.43,26.4,63.0,77,87,4.7,overcast clouds
150,Mar Del Plata,AR,-38.0,-57.56,55.0,66,0,3.36,clear sky
151,Caravelas,BR,-17.71,-39.25,71.53,86,0,7.61,light rain
152,Dikson,RU,73.51,80.55,47.82,81,48,9.64,scattered clouds
153,Clarksburg,US,39.28,-80.34,75.99,88,75,8.05,moderate rain
154,Necochea,AR,-38.55,-58.74,45.0,86,0,3.0,clear sky
155,Kirakira,SB,-10.45,161.92,83.7,74,52,16.26,light rain
156,Tocache,PE,-8.18,-76.51,77.2,58,18,1.34,few clouds
157,Parry Sound,CA,45.35,-80.03,69.01,91,53,11.99,broken clouds
158,Puerto Suarez,BO,-18.95,-57.8,86.11,36,15,3.24,few clouds
159,Umm Lajj,SA,25.02,37.27,82.24,69,55,4.18,broken clouds
160,Esperance,AU,-33.87,121.9,53.6,76,0,19.46,clear sky
161,Mahebourg,MU,-20.41,57.7,69.8,77,75,3.36,light intensity shower rain
162,Hasaki,JP,35.73,140.83,88.0,89,40,5.82,scattered clouds
163,Dwarka,IN,22.24,68.97,81.37,86,100,11.99,light rain
164,Moose Factory,CA,51.26,-80.61,50.0,81,90,5.82,overcast clouds
165,Georgetown,MY,5.41,100.34,80.6,94,20,3.36,haze
166,Lancaster,US,40.25,-76.25,89.6,52,20,13.87,few clouds
167,Airai,TL,-8.93,125.41,67.1,59,7,6.49,clear sky
168,Matagami,CA,49.75,-77.63,59.0,62,90,6.98,overcast clouds
169,Lembeni,TZ,-3.78,37.62,63.03,91,57,4.14,broken clouds
170,Pevek,RU,69.7,170.31,40.33,86,9,4.09,clear sky
171,Bengkulu,ID,-3.8,102.27,75.58,81,42,3.76,scattered clouds
172,Iqaluit,CA,63.75,-68.51,42.8,87,75,4.7,broken clouds
173,Namatanai,PG,-3.67,152.43,82.85,74,97,3.33,moderate rain
174,Zhigansk,RU,66.77,123.37,54.23,49,2,9.55,clear sky
175,Longyearbyen,SJ,78.22,15.64,37.4,69,75,17.22,broken clouds
176,Faya,SA,18.39,42.45,68.0,82,77,8.61,broken clouds
177,Riyadh,SA,24.69,46.72,82.4,30,0,4.59,clear sky
178,Concordia,AR,-31.39,-58.02,62.01,93,99,7.0,overcast clouds
179,Adet,ET,11.26,37.49,56.19,88,95,1.16,light rain
180,Praia,CV,14.92,-23.51,80.6,83,75,3.36,broken clouds
181,Belle Glade,US,26.68,-80.67,86.0,78,100,3.0,light rain
182,Nsoko,SZ,-27.03,31.95,61.45,74,0,7.4,clear sky
183,Cayenne,GF,4.93,-52.33,82.4,78,82,3.36,broken clouds
184,Mandalgovi,MN,45.76,106.27,51.21,77,38,16.46,scattered clouds
185,Cowra,AU,-33.83,148.68,42.01,69,6,1.99,clear sky
186,Port Hardy,CA,50.7,-127.42,60.8,82,40,3.36,scattered clouds
187,Petropavlovka,RU,50.61,105.32,55.15,82,87,2.68,overcast clouds
188,Sao Joao Da Barra,BR,-21.64,-41.05,71.13,88,0,7.27,clear sky
189,Moranbah,AU,-22.0,148.05,67.73,45,0,19.77,clear sky
190,Coari,BR,-4.08,-63.14,81.46,63,51,1.81,broken clouds
191,Sobolevo,RU,54.43,31.9,53.17,97,63,3.49,broken clouds
192,Victoria,HK,22.29,114.16,84.0,78,0,3.0,light rain
193,Lompoc,US,34.64,-120.46,68.0,64,1,16.11,clear sky
194,Dauriya,RU,49.93,116.87,56.75,71,100,20.2,light rain
195,Nanortalik,GL,60.14,-45.24,49.55,69,100,12.08,overcast clouds
196,Arraial Do Cabo,BR,-22.97,-42.03,70.86,90,0,11.54,clear sky
197,Ayan,RU,56.45,138.17,53.33,86,94,6.62,light rain
198,Itaqui,BR,-29.13,-56.55,74.05,71,92,9.93,overcast clouds
199,Vila Velha,BR,-20.33,-40.29,75.0,88,40,4.7,scattered clouds
200,Piacabucu,BR,-10.41,-36.43,71.8,73,19,6.13,few clouds
201,Batagay-Alyta,RU,67.8,130.41,48.87,49,0,1.21,clear sky
202,Ashtian,IR,34.52,50.0,57.94,36,0,6.55,clear sky
203,San Juan De La Maguana,DO,18.81,-71.23,86.0,79,20,6.93,few clouds
204,Wawa,NG,9.9,4.42,73.22,95,99,5.77,light rain
205,Vaitape,PF,-16.52,-151.75,78.24,77,2,15.28,clear sky
206,Pisco,PE,-13.7,-76.22,64.4,77,75,8.05,broken clouds
207,Jeremie,HT,18.65,-74.12,82.83,74,80,1.9,broken clouds
208,Shubarkuduk,KZ,49.14,56.49,71.22,28,34,4.34,scattered clouds
209,Bonnyville,CA,54.27,-110.73,62.6,55,75,11.41,broken clouds
210,Porangatu,BR,-13.44,-49.15,75.9,18,52,2.57,broken clouds
211,Khatanga,RU,71.97,102.5,60.1,68,44,6.33,scattered clouds
212,Derzhavinsk,KZ,51.1,66.32,61.09,69,42,5.08,scattered clouds
213,Henties Bay,NA,-22.12,14.28,53.01,90,4,6.67,clear sky
214,Pedasi,PA,7.53,-80.03,78.28,84,89,11.18,overcast clouds
215,Broome,US,42.25,-75.83,69.01,93,90,5.82,moderate rain
216,Nantucket,US,41.28,-70.1,66.2,88,75,4.7,broken clouds
217,Chateaubelair,VC,13.28,-61.25,82.4,78,40,12.75,scattered clouds
218,Te Anau,NZ,-45.42,167.72,44.8,87,99,8.25,light rain
219,Cody,US,44.53,-109.06,77.0,36,75,9.17,broken clouds
220,Hambantota,LK,6.12,81.12,79.47,81,64,12.39,broken clouds
221,Ancud,CL,-41.87,-73.82,46.0,93,90,6.93,overcast clouds
222,Linxia,CN,35.6,103.21,61.9,55,0,3.02,clear sky
223,Todos Santos,MX,23.45,-110.22,80.01,81,34,3.0,moderate rain
224,Omboue,GA,-1.57,9.26,75.11,85,100,8.72,overcast clouds
225,Nizhniy Tagil,RU,57.92,59.97,55.78,94,45,2.66,scattered clouds
226,Beloha,MG,-25.17,45.05,68.38,89,34,11.74,scattered clouds
227,Chicama,PE,-7.84,-79.15,61.83,82,50,6.46,scattered clouds
228,Katsuura,JP,35.13,140.3,88.0,84,20,5.82,few clouds
229,Roebourne,AU,-20.78,117.13,81.7,28,0,5.21,clear sky
230,Milas,TR,37.32,27.78,69.8,77,0,4.45,clear sky
231,Lavrentiya,RU,65.58,-171.0,51.51,70,5,1.9,clear sky
232,Karratha,AU,-20.74,116.85,81.3,28,0,4.63,clear sky
233,Ambad,IN,19.62,75.8,72.93,91,100,6.4,overcast clouds
234,Abu Samrah,SY,35.3,37.18,67.82,87,0,8.05,clear sky
235,Dombas,NO,62.07,9.12,47.89,70,100,3.74,overcast clouds
236,Itarema,BR,-2.92,-39.92,78.66,75,11,18.34,few clouds
237,Evensk,RU,61.95,159.23,50.07,71,80,11.56,broken clouds
238,Joensuu,FI,62.6,29.76,46.4,100,2,2.24,clear sky
239,Christchurch,NZ,-43.53,172.63,55.99,58,17,9.17,few clouds
240,Perth,AU,-31.93,115.83,62.01,51,0,11.41,clear sky
241,Auki,SB,-8.77,160.7,84.0,70,99,6.04,light rain
242,Hongjiang,CN,27.11,110.0,77.54,69,0,1.01,clear sky
243,Spassk,RU,52.75,87.75,54.0,89,97,2.3,overcast clouds
244,Vermillion,US,42.78,-96.93,91.99,52,1,6.93,clear sky
245,Terney,RU,45.05,136.61,69.75,93,100,5.7,overcast clouds
246,Ballina,AU,-28.87,153.57,66.99,55,1,11.41,clear sky
247,Hithadhoo,MV,-0.6,73.08,81.41,68,100,2.84,overcast clouds
248,Sao Joao Batista,BR,-27.28,-48.85,64.0,93,20,0.94,few clouds
249,Trincomalee,LK,8.57,81.23,80.33,75,55,16.15,broken clouds
250,Kangaatsiaq,GL,68.31,-53.46,46.24,72,59,9.78,broken clouds
