City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
584,Khuzdar,PK,75.92,few clouds,27.74,66.64,jhalwan Rent A Car Moola Chotok Boking Office
589,Harper,LR,75.81,overcast clouds,4.38,-7.72,Screensaver
590,Lillooet,CA,82.4,clear sky,50.69,-121.94,Hotel Victoria
591,Koungou,YT,75.2,broken clouds,-12.73,45.2,Villa Netibor
592,Vilanova Del Cami,ES,75.99,clear sky,41.57,1.64,América
593,Waingapu,ID,80.91,clear sky,-9.66,120.26,Pondok Wisata Elim
594,San Policarpo,PH,81.54,light rain,12.18,125.51,Zal-Ann Beach Resort
595,Naze,JP,86.0,scattered clouds,28.37,129.48,奄美ポートタワーホテル
598,El Cope,PA,80.01,light rain,8.62,-80.6,Hostal Buena Esperanza
599,Nouakchott,MR,84.2,few clouds,18.09,-15.98,Hôtel Iman
604,San Quintin,MX,77.97,scattered clouds,30.48,-115.95,Old Mill Hotel
606,Merritt Island,US,87.8,clear sky,28.54,-80.67,
607,Sikeston,US,84.2,clear sky,36.88,-89.59,Holiday Inn Express & Suites Sikeston
617,Alofi,NU,80.6,scattered clouds,-19.06,-169.92,Taloa Heights
620,Saint-Louis,SN,82.4,few clouds,16.33,-15.0,
621,Jingdezhen,CN,77.25,overcast clouds,29.29,117.21,Garden Hotel
624,Saint-Georges,GD,84.2,few clouds,12.06,-61.75,Siesta Hotel
626,La Asuncion,VE,87.8,few clouds,11.03,-63.86,Colinas de Matasiete
628,Chiang Khong,TH,75.2,few clouds,20.26,100.4,Chiangkhong Green Inn Resident
634,Manggar,ID,80.83,light rain,-2.88,108.27,Guest Hotel
636,Plainview,US,82.99,moderate rain,40.78,-73.47,Holiday Inn Plainview-Long Island
637,Balkanabat,TM,77.34,clear sky,39.51,54.37,Nebitchi Hotel
638,Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
639,Miri,MY,77.0,few clouds,4.41,114.01,"Mega Hotel, Miri"
645,Kifri,IQ,79.9,clear sky,34.7,44.97,میزان کفری
647,Faanui,PF,77.4,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
650,Tezu,IN,75.52,moderate rain,27.92,96.17,Circuit House
653,Bossier City,US,78.8,light rain,32.52,-93.73,Horseshoe Bossier City
654,Kamakhyanagar,IN,75.47,overcast clouds,20.93,85.55,రెంటచింతల సూర్య వెంకట పవన్ కుమార్
657,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
660,Ladario,BR,85.95,clear sky,-19.0,-57.6,Hotel Fazenda 4 cantos
661,Mandera,KE,76.95,few clouds,3.94,41.87,Kornesh Hotel and Lodging
663,Saraland,US,84.0,overcast clouds,30.82,-88.07,Microtel Inn & Suites by Wyndham Saraland/North Mobile
665,Filadelfia,US,90.0,scattered clouds,39.95,-75.16,Loews Philadelphia Hotel
669,Sakakah,SA,84.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
673,Inirida,CO,75.27,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
676,Camapua,BR,83.95,clear sky,-19.53,-54.04,Comercial Estrela
680,Manoel Urbano,BR,81.18,few clouds,-8.84,-69.26,Baixada Beira Rio
683,Tautira,PF,84.2,scattered clouds,-17.73,-149.15,Pension Oaoa
686,Kilinochchi,LK,78.58,few clouds,9.4,80.4,Solaivanam Guest House
687,Lorengau,PG,84.69,light rain,-2.02,147.27,Lorengau Harbourside Hotel
688,Bubaque,GW,80.67,light rain,11.28,-15.83,Casa Dora
693,San Rafael Del Sur,NI,82.4,scattered clouds,11.85,-86.44,Hospedaje El Chino
694,Wagar,SD,85.87,broken clouds,16.15,36.2,
