City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Tiksi,RU,2020-08-25 18:36:46,71.69,128.87,36.61,88,0,10.49
136,Balakhta,RU,2020-08-25 18:36:46,55.38,91.6,53.74,86,100,4.9
137,Leningradskiy,RU,2020-08-25 18:36:46,69.38,178.42,40.82,94,100,11.43
138,Nhulunbuy,AU,2020-08-25 18:36:46,-12.23,136.77,71.6,83,76,8.05
139,Muzaffarabad,PK,2020-08-25 18:36:09,34.37,73.47,76.1,70,23,2.04
140,Souillac,MU,2020-08-25 18:36:46,-20.52,57.52,69.8,83,40,11.41
141,Ongandjera,NA,2020-08-25 18:36:46,-17.88,15.07,73.85,39,64,5.32
142,Chokurdakh,RU,2020-08-25 18:36:46,70.63,147.92,36.84,90,100,5.93
143,Geraldton,AU,2020-08-25 18:36:47,-28.77,114.6,46.4,93,0,6.93
144,Teguise,ES,2020-08-25 18:36:47,29.06,-13.56,87.8,55,0,17.22
145,Tambura,SS,2020-08-25 18:36:47,5.6,27.47,69.55,95,74,0.29
146,Brae,GB,2020-08-25 18:36:47,60.4,-1.35,55.4,71,40,18.34
147,Gorontalo,ID,2020-08-25 18:36:47,0.54,123.06,75.13,86,17,5.91
148,Castro,BR,2020-08-25 18:36:47,-24.79,-50.01,63.14,66,0,9.08
149,Hofn,IS,2020-08-25 18:36:47,64.25,-15.21,50.83,81,4,5.08
150,Ponta Do Sol,PT,2020-08-25 18:36:47,32.67,-17.1,75.99,69,20,20.8
151,Kodiak,US,2020-08-25 18:34:27,57.79,-152.41,57.2,58,75,3.36
152,Miramar,US,2020-08-25 18:36:47,25.99,-80.23,91.99,63,40,16.11
153,Ixtapa,MX,2020-08-25 18:36:47,20.7,-105.2,84.99,79,75,8.05
154,Chumikan,RU,2020-08-25 18:33:47,54.72,135.31,51.28,93,100,1.92
155,Codrington,AU,2020-08-25 18:33:17,-38.27,141.97,38.52,91,3,7.38
156,East London,ZA,2020-08-25 18:36:48,-33.02,27.91,64.4,88,2,9.17
157,Lagoa,PT,2020-08-25 18:33:12,39.05,-27.98,74.28,89,88,15.03
158,Lekoni,GA,2020-08-25 18:36:48,-1.58,14.26,80.55,63,80,3.33
159,Milton,US,2020-08-25 18:36:48,34.13,-84.3,75.0,97,100,4.56
160,Bandarbeyla,SO,2020-08-25 18:36:48,9.49,50.81,76.73,82,1,31.38
161,Katsuura,JP,2020-08-25 18:36:48,35.13,140.3,78.8,88,20,4.7
162,Berbera,SO,2020-08-25 18:36:48,10.44,45.01,94.33,43,84,12.68
163,Chapais,CA,2020-08-25 18:32:43,49.78,-74.85,57.2,76,75,14.99
164,San Patricio,MX,2020-08-25 18:36:48,19.22,-104.7,84.2,79,75,13.87
165,Mar Del Plata,AR,2020-08-25 18:36:49,-38.0,-57.56,64.4,77,40,9.17
166,Kirakira,SB,2020-08-25 18:36:49,-10.45,161.92,79.11,80,11,6.93
167,Havoysund,NO,2020-08-25 18:36:49,71.0,24.66,48.2,81,75,13.87
168,Okhotsk,RU,2020-08-25 18:36:49,59.38,143.3,51.6,90,100,18.54
169,Vanavara,RU,2020-08-25 18:33:18,60.34,102.28,50.38,69,2,6.49
170,Altay,CN,2020-08-25 18:36:49,47.87,88.12,56.01,71,62,11.7
171,Graham,US,2020-08-25 18:36:49,47.05,-122.29,69.01,68,1,5.53
172,Padang,ID,2020-08-25 18:36:49,-0.95,100.35,77.32,76,100,4.88
173,Yeniseysk,RU,2020-08-25 18:36:49,58.45,92.17,51.71,88,36,2.62
174,Anadyr,RU,2020-08-25 18:36:49,64.75,177.48,46.4,100,90,6.71
175,Alugan,PH,2020-08-25 18:33:32,12.22,125.48,79.0,84,100,3.8
176,Lusambo,CD,2020-08-25 18:36:49,-4.97,23.45,77.5,64,32,1.63
177,Hong Gai,VN,2020-08-25 18:36:50,20.96,107.09,84.2,83,100,3.36
178,New Haven,US,2020-08-25 18:36:50,41.31,-72.93,91.0,46,1,5.82
179,Bahia Blanca,AR,2020-08-25 18:36:50,-38.72,-62.27,58.41,85,98,10.8
180,Talnakh,RU,2020-08-25 18:36:50,69.49,88.4,57.2,82,67,8.95
181,Bull Savanna,JM,2020-08-25 18:36:50,17.89,-77.59,82.65,77,69,12.21
182,Touros,BR,2020-08-25 18:36:50,-5.2,-35.46,84.2,58,20,12.75
183,Thai Nguyen,VN,2020-08-25 18:36:50,21.59,105.84,82.4,74,100,6.93
184,Kapaa,US,2020-08-25 18:36:50,22.08,-159.32,81.0,74,20,14.99
185,Bambanglipuro,ID,2020-08-25 18:36:50,-7.95,110.28,74.98,83,8,9.98
186,Iberia,US,2020-08-25 18:36:50,29.95,-91.75,90.0,70,90,10.29
187,Salekhard,RU,2020-08-25 18:36:50,66.53,66.6,54.1,75,100,5.75
188,Gat,IL,2020-08-25 18:36:50,31.61,34.76,82.99,37,0,5.75
189,Manakara,MG,2020-08-25 18:36:50,-22.13,48.02,68.25,89,1,7.83
190,Portland,US,2020-08-25 18:35:26,45.52,-122.68,72.0,59,20,4.7
191,Aklavik,CA,2020-08-25 18:36:51,68.22,-135.01,57.2,76,75,4.7
192,Vadso,NO,2020-08-25 18:36:51,70.07,29.75,55.4,81,72,1.12
193,El Progreso,HN,2020-08-25 18:36:51,15.4,-87.8,91.4,52,75,4.7
194,Lata,PT,2020-08-25 18:36:51,40.16,-8.33,77.0,69,0,8.01
195,Sovetskaya Gavan,RU,2020-08-25 18:36:51,48.97,140.29,60.73,90,0,3.94
196,Cururupu,BR,2020-08-25 18:36:51,-1.83,-44.87,84.34,63,48,5.48
197,Gouyave,GD,2020-08-25 18:36:51,12.16,-61.73,87.8,74,40,23.04
198,Saint Anthony,US,2020-08-25 18:33:41,45.02,-93.22,86.0,62,20,9.17
199,Faanui,PF,2020-08-25 18:36:52,-16.48,-151.75,76.03,83,14,20.96
200,Yulara,AU,2020-08-25 18:36:52,-25.24,130.99,62.6,25,0,6.93
201,Cootamundra,AU,2020-08-25 18:36:52,-34.65,148.03,30.0,94,3,0.51
202,Ostrovnoy,RU,2020-08-25 18:36:52,68.05,39.51,51.28,87,4,4.34
203,Necochea,AR,2020-08-25 18:36:52,-38.55,-58.74,66.0,1,100,1.99
